2025-07-31 21:14:31	INFO	.env file loaded successfully from default location
2025-07-31 21:14:31	INFO	logs	logging service started	{"propagate": true, "stream": false, "min_level": "debug"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "env"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "os"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "channel"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "time"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "logger"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "base64"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "json"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "fs"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "uuid"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "upstream"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "subscribe"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "crypto"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "funcs"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "payload"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "task"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "hash"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "command.Command"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "yaml"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "text"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "loader"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "events"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "exec"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "ctx"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "store"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "templates"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "security"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "registry"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "process"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "http"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "process_api"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "function_api"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "http_client"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "websocket"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "treesitter"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "btea"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "sql"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "excel"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "cloudstorage"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "system"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "contract"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "otel"}
2025-07-31 21:14:31	DEBUG	lua	adding built-in module	{"name": "html"}
2025-07-31 21:14:31	INFO	core	supervisor started
2025-07-31 21:14:31	INFO	No OpenTelemetry endpoint specified, using no-op tracer
2025-07-31 21:14:31	DEBUG	interceptor	interceptor registered	{"interceptor": "interceptor:timeout"}
2025-07-31 21:14:31	DEBUG	interceptor	interceptor registered	{"interceptor": "interceptor:otel"}
2025-07-31 21:14:31	DEBUG	interceptor	interceptor registered	{"interceptor": "interceptor:ratelimit"}
2025-07-31 21:14:31	DEBUG	interceptor	interceptor registered	{"interceptor": "interceptor:retry"}
2025-07-31 21:14:31	WARN	process file	{"path": "src/demos/terminal_examples/_index.yaml", "error": "extract entries: validation failed: entry[0].namespace: namespace is required"}
2025-07-31 21:14:31	WARN	process file	{"path": "src/demos/todo_app/_index.yaml", "error": "extract entries: validation failed: entry[0].namespace: namespace is required"}
2025-07-31 21:14:31	WARN	process file	{"path": "src/demos/todo_app/api/_index.yaml", "error": "extract entries: validation failed: entry[0].namespace: namespace is required"}
2025-07-31 21:14:33	INFO	loaded modules from registry	{"count": 6, "modules": [{"name":{"Organization":"wippy","Module":"terminal"},"version":"v0.0.7","path":".wippy/wippy/terminal@01978c92-9604-7b59-a66f-00ba24eb67d9","organization":"wippy","module":"terminal"},{"name":{"Organization":"wippy","Module":"test"},"version":"v0.0.8","path":".wippy/wippy/test@0197e530-927f-75f5-995c-b6f5e0dd32f9","organization":"wippy","module":"test"},{"name":{"Organization":"igor-test-3","Module":"test-2"},"version":"v1.0.10","path":".wippy/igor-test-3/test-2@0198604c-3e58-7f01-904e-395a037a4e1a","organization":"igor-test-3","module":"test-2"},{"name":{"Organization":"wippy","Module":"llm"},"version":"v0.0.11","path":".wippy/wippy/llm@01984154-6ac5-7325-8b52-27edecfe60f4","organization":"wippy","module":"llm"},{"name":{"Organization":"wippy","Module":"migration"},"version":"v0.0.10","path":".wippy/wippy/migration@01984114-e585-7da1-b6ab-ea45ca51ddc6","organization":"wippy","module":"migration"},{"name":{"Organization":"wippy","Module":"security"},"version":"v0.0.7","path":".wippy/wippy/security@01978c92-7d02-7b4a-95df-55b57cfe80b7","organization":"wippy","module":"security"}]}
2025-07-31 21:14:33	INFO	requirement-resolver	requirement resolver debug info	{"available_requirements": ["NAMESPACE", "API_ROUTER", "application_host"], "available_definitions": ["application_host", "NAMESPACE", "API_ROUTER"], "available_dependencies": ["hello_world_dependency", "__dependency.wippy.llm", "__dependency.wippy.migration", "__dependency.wippy.security", "__dependency.wippy.terminal", "__dependency.wippy.test"]}
2025-07-31 21:14:33	INFO	requirement-resolver	processing definition	{"definition_name": "application_host", "definition_namespace": "app.llm_debug.demo"}
2025-07-31 21:14:33	INFO	requirement-resolver	found dependency for definition	{"definition": "application_host", "dependency": "__dependency.wippy.llm", "path": ".parameters[] | select(.name == \"host\") | .value"}
2025-07-31 21:14:33	INFO	requirement-resolver	extracted value from dependency	{"definition": "application_host", "value": "system:processes"}
2025-07-31 21:14:33	INFO	requirement-resolver	found requirement for definition	{"definition": "application_host", "requirement": "application_host", "requirement_namespace": "wippy.llm.google.vertex"}
2025-07-31 21:14:33	INFO	requirement-resolver	found requirement targets	{"requirement": "application_host", "targets": [{"entry":"token_refresh","path":".meta.default_host"},{"entry":"token_refresh.service","path":".host"},{"entry":"token_refresh.service","path":".lifecycle.depends_on +="}]}
2025-07-31 21:14:33	INFO	requirement-resolver	found target entries for requirement	{"requirement": "application_host", "target_entry": "token_refresh", "target_path": ".meta.default_host", "target_count": 1, "target_entry_ids": ["wippy.llm.google.vertex:token_refresh"]}
2025-07-31 21:14:33	INFO	requirement-resolver	injection verification successful	{"entry_id": "wippy.llm.google.vertex:token_refresh", "path": ".meta.default_host", "value": "system:processes"}
2025-07-31 21:14:33	INFO	requirement-resolver	found target entries for requirement	{"requirement": "application_host", "target_entry": "token_refresh.service", "target_path": ".host", "target_count": 1, "target_entry_ids": ["wippy.llm.google.vertex:token_refresh.service"]}
